SampleID,treatment,crop,harvest,drought,planted,summarise,summarise_new,dna_rna
cDNA_142,H1Dr(P4),bean,Day 2,drought,planted,Day 2planted,drought_planted,RNA
cDNA_143,H1Dr(P5),bean,Day 2,drought,planted,Day 2planted,drought_planted,RNA
cDNA_146,H1Dr(U1),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_147,H1Dr(U2),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_148,H1Dr(U3),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_149,H1Dr(U4),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_150,H1Dr(U5),bean,Day 2,drought,unplanted,Day 2unplanted,drought_unplanted,RNA
cDNA_151,H2Dr(P1),bean,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_152,H2Dr(P2),bean,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_153,H2Dr(P3),bean,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_154,H2Dr(P4),bean,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_155,H2Dr(P5),bean,Day 3,drought,planted,Day 3planted,drought_planted,RNA
cDNA_156,H2Dr(U1),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_157,H2Dr(U2),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_158,H2Dr(U3),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_159,H2Dr(U4),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_160,H2Dr(U5),bean,Day 3,drought,unplanted,Day 3unplanted,drought_unplanted,RNA
cDNA_163,H3Dr(P1),bean,Day 4,drought,planted,Day 4planted,drought_planted,RNA
cDNA_164,H3Dr(P2),bean,Day 4,drought,planted,Day 4planted,drought_planted,RNA
cDNA_165,H3Dr(P3),bean,Day 4,drought,planted,Day 4planted,drought_planted,RNA
cDNA_166,H3Dr(P4),bean,Day 4,drought,planted,Day 4planted,drought_planted,RNA
